date,card_id,name,supertype,decks,wins,copies,day_decks
2026-07-08,140,Fezandipiti ex,Pokémon,2374,1226,2439,10394
2026-07-08,2,Basic {R} Energy,Energy,270,129,968,10394
2026-07-08,119,Dreepy,Pokémon,270,129,1080,10394
2026-07-08,120,Drakloak,Pokémon,270,129,1080,10394
2026-07-08,121,Dragapult ex,Pokémon,270,129,810,10394
2026-07-08,184,Latias ex,Pokémon,457,245,800,10394
2026-07-08,235,Budew,Pokémon,715,379,873,10394
2026-07-08,1071,Meowth ex,Pokémon,617,317,1301,10394
2026-07-08,1080,Unfair Stamp,Trainer,1772,856,1772,10394
2026-07-08,1213,Judge,Trainer,1106,599,2502,10394
2026-07-08,1246,Jamming Tower,Trainer,126,64,242,10394
2026-07-08,666,Cinderace,Pokémon,489,255,1956,10394
2026-07-08,1030,Staryu,Pokémon,712,407,2485,10394
2026-07-08,1031,Mega Starmie ex,Pokémon,712,407,2137,10394
2026-07-08,1145,Mega Signal,Trainer,410,228,1490,10394
2026-07-08,1189,Salvatore,Trainer,362,206,1425,10394
2026-07-08,1223,Harlequin,Trainer,335,193,670,10394
2026-07-08,1229,Wally's Compassion,Trainer,1268,665,4212,10394
2026-07-08,17,Ignition Energy,Energy,688,397,2748,10394
2026-07-08,116,Okidogi,Pokémon,448,229,1344,10394
2026-07-08,135,Bloodmoon Ursaluna,Pokémon,237,142,237,10394
2026-07-08,675,Lunatone,Pokémon,891,432,1967,10394
2026-07-08,676,Solrock,Pokémon,891,432,2886,10394
2026-07-08,1051,Binacle,Pokémon,448,229,896,10394
2026-07-08,1052,Barbaracle,Pokémon,448,229,896,10394
2026-07-08,1142,Fighting Gong,Trainer,1632,842,6486,10394
2026-07-08,1174,Air Balloon,Trainer,553,275,1215,10394
2026-07-08,1238,Tarragon,Trainer,448,229,1133,10394
2026-07-08,1212,Cook,Trainer,309,150,849,10394
2026-07-08,646,Marnie's Impidimp,Pokémon,1733,850,6932,10394
2026-07-08,647,Marnie's Morgrem,Pokémon,1733,850,4578,10394
2026-07-08,648,Marnie's Grimmsnarl ex,Pokémon,1733,850,5760,10394
2026-07-08,1137,Tool Scrapper,Trainer,1126,567,1126,10394
2026-07-08,1259,Spikemuth Gym,Trainer,1733,850,6193,10394
2026-07-08,1260,Risky Ruins,Trainer,548,305,752,10394
2026-07-08,649,Marnie's Morpeko,Pokémon,548,289,735,10394
2026-07-08,1119,Energy Search,Trainer,615,290,921,10394
2026-07-08,1139,Energy Recycler,Trainer,538,286,538,10394
2026-07-08,1187,Morty’s Conviction,Trainer,218,91,851,10394
2026-07-08,1118,Energy Retrieval,Trainer,213,88,213,10394
2026-07-08,12,Legacy Energy,Energy,267,114,267,10394
2026-07-08,190,Archaludon ex,Pokémon,360,174,1440,10394
2026-07-08,169,Duraludon,Pokémon,360,174,1440,10394
2026-07-08,57,Relicanth,Pokémon,294,148,490,10394
2026-07-08,8,Basic {M} Energy,Energy,360,174,4698,10394
2026-07-08,1192,Carmine,Trainer,870,460,2820,10394
2026-07-08,1244,Full Metal Lab,Trainer,360,174,1404,10394
2026-07-08,431,Team Rocket's Mewtwo ex,Pokémon,120,64,240,10394
2026-07-08,400,Team Rocket's Tarountula,Pokémon,120,64,480,10394
2026-07-08,401,Team Rocket's Spidops,Pokémon,120,64,480,10394
2026-07-08,434,Team Rocket's Mimikyu,Pokémon,120,64,240,10394
2026-07-08,1217,Team Rocket's Archer,Trainer,120,64,120,10394
2026-07-08,1218,Team Rocket's Giovanni,Trainer,120,64,360,10394
2026-07-08,1094,Bug Catching Set,Trainer,120,64,360,10394
2026-07-08,1134,Team Rocket's Transceiver,Trainer,186,87,546,10394
2026-07-08,1216,Team Rocket's Ariana,Trainer,120,64,480,10394
2026-07-08,1220,Team Rocket's Proton,Trainer,120,64,480,10394
2026-07-08,1175,Brave Bangle,Trainer,120,64,138,10394
2026-07-08,15,Team Rocket's Energy,Energy,120,64,480,10394
2026-07-08,131,Duskull,Pokémon,350,201,700,10394
2026-07-08,132,Dusclops,Pokémon,350,201,700,10394
2026-07-08,133,Dusknoir,Pokémon,350,201,699,10394
2026-07-08,1167,Deluxe Bomb,Trainer,349,201,349,10394
2026-07-08,104,Froslass,Pokémon,814,336,1628,10394
2026-07-08,860,Snorunt,Pokémon,870,367,1863,10394
2026-07-08,678,Mega Lucario ex,Pokémon,443,203,1753,10394
2026-07-08,677,Riolu,Pokémon,443,203,1763,10394
2026-07-08,1102,Dusk Ball,Trainer,499,226,1858,10394
2026-07-08,1141,Premium Power Pro,Trainer,493,228,1840,10394
2026-07-08,20,Rock Fighting Energy,Energy,1046,556,3886,10394
2026-07-08,96,Teal Mask Ogerpon ex,Pokémon,517,266,1371,10394
2026-07-08,1235,Waitress,Trainer,180,82,540,10394
2026-07-08,97,Litwick,Pokémon,150,60,450,10394
2026-07-08,494,Lampent,Pokémon,150,60,300,10394
2026-07-08,98,Chandelure,Pokémon,150,60,450,10394
2026-07-08,1166,Gravity Gemstone,Trainer,203,81,407,10394
2026-07-08,341,Cynthia's Roselia,Pokémon,726,405,2904,10394
2026-07-08,342,Cynthia's Roserade,Pokémon,726,405,2225,10394
2026-07-08,381,Cynthia's Garchomp ex,Pokémon,726,405,2178,10394
2026-07-08,379,Cynthia's Gible,Pokémon,726,405,2904,10394
2026-07-08,380,Cynthia's Gabite,Pokémon,726,405,2904,10394
2026-07-08,387,Cynthia's Spiritomb,Pokémon,678,382,1354,10394
2026-07-08,1173,Cynthia's Power Weight,Trainer,726,405,2268,10394
2026-07-08,1203,Surfer,Trainer,676,380,715,10394
2026-07-08,1261,Forest of Vitality,Trainer,684,385,1328,10394
2026-07-08,63,Raging Bolt ex,Pokémon,337,184,674,10394
2026-07-08,108,Wellspring Mask Ogerpon ex,Pokémon,340,185,343,10394
2026-07-08,272,Lillie’s Clefairy ex,Pokémon,340,185,411,10394
2026-07-08,1205,Cyrano,Trainer,340,185,677,10394
2026-07-08,1116,Energy Switch,Trainer,439,238,1450,10394
2026-07-08,1098,Glass Trumpet,Trainer,337,184,674,10394
2026-07-08,1088,Prime Catcher,Trainer,340,185,340,10394
2026-07-08,1250,Area Zero Underdepths,Trainer,340,185,1360,10394
2026-07-08,4,Basic {L} Energy,Energy,337,184,674,10394
2026-07-08,1266,Nighttime Mine,Trainer,434,218,1318,10394
2026-07-08,673,Makuhita,Pokémon,146,62,181,10394
2026-07-08,674,Hariyama,Pokémon,146,62,181,10394
2026-07-08,1252,Gravity Mountain,Trainer,148,64,176,10394
2026-07-08,1146,Wondrous Patch,Trainer,339,160,345,10394
2026-07-08,506,Cubchoo,Pokémon,62,23,248,10394
2026-07-08,174,Fan Rotom,Pokémon,172,78,220,10394
2026-07-08,1091,Accompanying Flute,Trainer,52,21,52,10394
2026-07-08,959,Togepi,Pokémon,110,46,110,10394
2026-07-08,214,Togekiss,Pokémon,110,46,110,10394
2026-07-08,306,Dudunsparce ex,Pokémon,152,69,152,10394
2026-07-08,1240,Rosa's Encouragement,Trainer,152,69,152,10394
2026-07-08,861,Mega Froslass ex,Pokémon,73,34,244,10394
2026-07-08,1185,Explorer’s Guidance,Trainer,167,66,668,10394
2026-07-08,848,Buneary,Pokémon,69,33,276,10394
2026-07-08,849,Mega Lopunny ex,Pokémon,69,33,207,10394
2026-07-08,1202,Drayton,Trainer,140,58,280,10394
2026-07-08,1206,Larry’s Skill,Trainer,159,83,161,10394
2026-07-08,1256,Team Rocket's Watchtower,Trainer,42,21,162,10394
2026-07-08,840,Archaludon,Pokémon,3,1,6,10394
2026-07-08,1156,Lucky Helmet,Trainer,42,16,77,10394
2026-07-08,1224,Cheren,Trainer,2,2,2,10394
2026-07-08,142,Genesect,Pokémon,7,3,7,10394
2026-07-08,858,Psyduck,Pokémon,13,4,13,10394
2026-07-08,56,Flutter Mane,Pokémon,12,4,12,10394
2026-07-08,58,Great Tusk,Pokémon,22,7,67,10394
2026-07-08,607,Terrakion,Pokémon,15,5,15,10394
2026-07-08,103,Snorunt,Pokémon,17,3,34,10394
2026-07-08,1208,Iris’s Fighting Spirit,Trainer,47,20,94,10394
2026-07-08,1095,Dangerous Laser,Trainer,39,21,39,10394
2026-07-08,304,Hop’s Snorlax,Pokémon,1,1,4,10394
2026-07-08,878,Hop's Phantump,Pokémon,1,1,4,10394
2026-07-08,879,Hop's Trevenant,Pokémon,1,1,4,10394
2026-07-08,1115,Hop’s Bag,Trainer,1,1,4,10394
2026-07-08,1171,Hop’s Choice Band,Trainer,1,1,4,10394
2026-07-08,1193,Hassel,Trainer,1,1,3,10394
2026-07-08,1255,Postwick,Trainer,1,1,4,10394
2026-07-08,1077,Roto-Stick,Trainer,23,10,69,10394
2026-07-08,245,Alakazam,Pokémon,104,60,104,10394
2026-07-08,791,Moltres,Pokémon,1,0,1,10394
2026-07-08,979,Koraidon ex,Pokémon,3,1,3,10394
2026-07-08,1188,Ciphermaniac’s Codebreaking,Trainer,3,1,6,10394
2026-07-08,1172,Lillie’s Pearl,Trainer,3,1,6,10394
2026-07-08,1158,Maximum Belt,Trainer,7,3,7,10394
2026-07-08,1177,Sacred Charm,Trainer,8,6,8,10394
2026-08-05,1,Basic {G} Energy,Energy,2254,1118,19456,9474
2026-08-05,18,Grow Grass Energy,Energy,1526,743,4874,9474
2026-08-05,96,Teal Mask Ogerpon ex,Pokémon,1091,544,4156,9474
2026-08-05,1094,Bug Catching Set,Trainer,1217,592,4734,9474
2026-08-05,1118,Energy Retrieval,Trainer,662,315,1004,9474
2026-08-05,1119,Energy Search,Trainer,621,295,1798,9474
2026-08-05,1122,Pokégear 3.0,Trainer,5591,2739,11951,9474
2026-08-05,1127,Tera Orb,Trainer,672,330,1923,9474
2026-08-05,1137,Tool Scrapper,Trainer,3396,1583,3396,9474
2026-08-05,1147,Jumbo Ice Cream,Trainer,1530,745,5015,9474
2026-08-05,1159,Hero’s Cape,Trainer,1884,963,1884,9474
2026-08-05,1182,Boss’s Orders,Trainer,8994,4484,21939,9474
2026-08-05,1201,Briar,Trainer,723,361,723,9474
2026-08-05,1213,Judge,Trainer,1765,927,4712,9474
2026-08-05,1221,N's Plan,Trainer,551,272,551,9474
2026-08-05,1223,Harlequin,Trainer,593,287,900,9474
2026-08-05,1227,Lillie's Determination,Trainer,7372,3674,29395,9474
2026-08-05,1251,Lively Stadium,Trainer,593,287,1319,9474
2026-08-05,5,Basic {P} Energy,Energy,2775,1432,7144,9474
2026-08-05,13,Enriching Energy,Energy,2975,1547,2975,9474
2026-08-05,19,Telepath Psychic Energy,Energy,2041,1037,8083,9474
2026-08-05,66,Dudunsparce,Pokémon,3164,1653,8072,9474
2026-08-05,140,Fezandipiti ex,Pokémon,3010,1561,3010,9474
2026-08-05,305,Dunsparce,Pokémon,2944,1532,9901,9474
2026-08-05,343,Shaymin,Pokémon,1874,946,1874,9474
2026-08-05,741,Abra,Pokémon,1825,912,7300,9474
2026-08-05,742,Kadabra,Pokémon,1825,912,7300,9474
2026-08-05,743,Alakazam,Pokémon,1825,912,7247,9474
2026-08-05,1079,Rare Candy,Trainer,4726,2236,14363,9474
2026-08-05,1081,Enhanced Hammer,Trainer,1825,912,7178,9474
2026-08-05,1086,Buddy-Buddy Poffin,Trainer,7777,3838,30066,9474
2026-08-05,1097,Night Stretcher,Trainer,6320,3078,14072,9474
2026-08-05,1129,Sacred Ash,Trainer,2025,1024,2029,9474
2026-08-05,1152,Poké Pad,Trainer,7859,3934,30635,9474
2026-08-05,1184,Lana’s Aid,Trainer,1992,985,2005,9474
2026-08-05,1197,Xerosic’s Machinations,Trainer,3581,1815,8447,9474
2026-08-05,1225,Hilda,Trainer,4250,2180,14877,9474
2026-08-05,1231,Dawn,Trainer,5409,2591,11256,9474
2026-08-05,1266,Nighttime Mine,Trainer,1519,764,3001,9474
2026-08-05,11,Mist Energy,Energy,1971,1043,7884,9474
2026-08-05,14,Spiky Energy,Energy,1258,642,4359,9474
2026-08-05,174,Fan Rotom,Pokémon,1154,649,1154,9474
2026-08-05,848,Buneary,Pokémon,1235,692,3422,9474
2026-08-05,849,Mega Lopunny ex,Pokémon,1235,692,2935,9474
2026-08-05,1121,Ultra Ball,Trainer,3062,1685,11108,9474
2026-08-05,1174,Air Balloon,Trainer,1282,706,4123,9474
2026-08-05,1229,Wally's Compassion,Trainer,1608,909,5785,9474
2026-08-05,344,Dwebble,Pokémon,857,415,3287,9474
2026-08-05,345,Crustle,Pokémon,857,415,2936,9474
2026-08-05,756,Mega Kangaskhan ex,Pokémon,1224,623,3730,9474
2026-08-05,1087,Hand Trimmer,Trainer,1022,548,2308,9474
2026-08-05,1123,Switch,Trainer,1300,686,2857,9474
2026-08-05,1264,Battle Cage,Trainer,1874,968,4516,9474
2026-08-05,678,Mega Lucario ex,Pokémon,365,224,1460,9474
2026-08-05,677,Riolu,Pokémon,365,224,1143,9474
2026-08-05,676,Solrock,Pokémon,446,270,1306,9474
2026-08-05,675,Lunatone,Pokémon,446,270,900,9474
2026-08-05,1102,Dusk Ball,Trainer,59,29,235,9474
2026-08-05,1141,Premium Power Pro,Trainer,374,227,1476,9474
2026-08-05,1142,Fighting Gong,Trainer,636,356,2535,9474
2026-08-05,6,Basic {F} Energy,Energy,867,490,6751,9474
2026-08-05,20,Rock Fighting Energy,Energy,617,289,1820,9474
2026-08-05,7,Basic {D} Energy,Energy,3534,1660,29974,9474
2026-08-05,104,Froslass,Pokémon,2853,1299,5707,9474
2026-08-05,112,Munkidori,Pokémon,3501,1644,12683,9474
2026-08-05,646,Marnie's Impidimp,Pokémon,2839,1290,11349,9474
2026-08-05,647,Marnie's Morgrem,Pokémon,2839,1290,8434,9474
2026-08-05,648,Marnie's Grimmsnarl ex,Pokémon,2839,1290,8517,9474
2026-08-05,860,Snorunt,Pokémon,3463,1642,6961,9474
2026-08-05,1080,Unfair Stamp,Trainer,3968,1868,3968,9474
2026-08-05,1219,Team Rocket's Petrel,Trainer,3238,1471,12828,9474
2026-08-05,1259,Spikemuth Gym,Trainer,2839,1290,11356,9474
2026-08-05,1161,Handheld Fan,Trainer,270,117,491,9474
2026-08-05,3,Basic {W} Energy,Energy,914,517,2357,9474
2026-08-05,861,Mega Froslass ex,Pokémon,624,352,1248,9474
2026-08-05,431,Team Rocket's Mewtwo ex,Pokémon,122,57,244,9474
2026-08-05,400,Team Rocket's Tarountula,Pokémon,122,57,488,9474
2026-08-05,401,Team Rocket's Spidops,Pokémon,122,57,488,9474
2026-08-05,434,Team Rocket's Mimikyu,Pokémon,97,51,273,9474
2026-08-05,414,Team Rocket's Articuno,Pokémon,267,134,495,9474
2026-08-05,1218,Team Rocket's Giovanni,Trainer,122,57,286,9474
2026-08-05,1134,Team Rocket's Transceiver,Trainer,123,58,490,9474
2026-08-05,1216,Team Rocket's Ariana,Trainer,122,57,487,9474
2026-08-05,1220,Team Rocket's Proton,Trainer,122,57,417,9474
2026-08-05,1187,Morty’s Conviction,Trainer,231,121,520,9474
2026-08-05,15,Team Rocket's Energy,Energy,122,57,488,9474
2026-08-05,1120,Crushing Hammer,Trainer,987,512,3831,9474
2026-08-05,2,Basic {R} Energy,Energy,592,319,2199,9474
2026-08-05,352,Ethan's Cyndaquil,Pokémon,14,9,56,9474
2026-08-05,353,Ethan's Quilava,Pokémon,14,9,56,9474
2026-08-05,354,Ethan's Typhlosion,Pokémon,14,9,56,9474
2026-08-05,1215,Ethan's Adventure,Trainer,14,9,56,9474
2026-08-05,89,Grookey,Pokémon,210,113,840,9474
2026-08-05,90,Thwackey,Pokémon,210,113,819,9474
2026-08-05,92,Applin,Pokémon,198,110,677,9474
2026-08-05,93,Dipplin,Pokémon,270,149,960,9474
2026-08-05,1175,Brave Bangle,Trainer,276,137,676,9474
2026-08-05,1245,Festival Grounds,Trainer,210,113,840,9474
2026-08-05,1030,Staryu,Pokémon,16,9,50,9474
2026-08-05,1031,Mega Starmie ex,Pokémon,16,9,48,9474
2026-08-05,1145,Mega Signal,Trainer,90,39,194,9474
2026-08-05,1189,Salvatore,Trainer,21,11,28,9474
2026-08-05,1224,Cheren,Trainer,15,9,30,9474
2026-08-05,1262,Surfing Beach,Trainer,14,9,56,9474
2026-08-05,673,Makuhita,Pokémon,321,204,642,9474
2026-08-05,674,Hariyama,Pokémon,321,204,642,9474
2026-08-05,380,Cynthia's Gabite,Pokémon,187,84,748,9474
2026-08-05,379,Cynthia's Gible,Pokémon,187,84,748,9474
2026-08-05,341,Cynthia's Roselia,Pokémon,187,84,739,9474
2026-08-05,381,Cynthia's Garchomp ex,Pokémon,187,84,561,9474
2026-08-05,342,Cynthia's Roserade,Pokémon,187,84,561,9474
2026-08-05,387,Cynthia's Spiritomb,Pokémon,187,84,370,9474
2026-08-05,1173,Cynthia's Power Weight,Trainer,187,84,561,9474
2026-08-05,1261,Forest of Vitality,Trainer,390,173,1204,9474
2026-08-05,1203,Surfer,Trainer,172,80,172,9474
2026-08-05,1071,Meowth ex,Pokémon,1061,575,1660,9474
2026-08-05,184,Latias ex,Pokémon,424,248,765,9474
2026-08-05,63,Raging Bolt ex,Pokémon,207,123,413,9474
2026-08-05,108,Wellspring Mask Ogerpon ex,Pokémon,207,123,208,9474
2026-08-05,272,Lillie’s Clefairy ex,Pokémon,321,190,407,9474
2026-08-05,978,Passimian,Pokémon,206,122,206,9474
2026-08-05,1198,Crispin,Trainer,814,446,2641,9474
2026-08-05,1205,Cyrano,Trainer,209,123,419,9474
2026-08-05,1116,Energy Switch,Trainer,268,146,890,9474
2026-08-05,1098,Glass Trumpet,Trainer,206,122,412,9474
2026-08-05,1088,Prime Catcher,Trainer,338,200,338,9474
2026-08-05,1250,Area Zero Underdepths,Trainer,240,144,863,9474
2026-08-05,4,Basic {L} Energy,Energy,207,123,416,9474
2026-08-05,119,Dreepy,Pokémon,577,309,2308,9474
2026-08-05,120,Drakloak,Pokémon,577,309,2308,9474
2026-08-05,121,Dragapult ex,Pokémon,577,309,1700,9474
2026-08-05,235,Budew,Pokémon,672,341,1062,9474
2026-08-05,1246,Jamming Tower,Trainer,496,269,898,9474
2026-08-05,31,Chi-Yu,Pokémon,32,21,34,9474
2026-08-05,324,Torchic,Pokémon,31,20,62,9474
2026-08-05,325,Combusken,Pokémon,31,20,31,9474
2026-08-05,326,Blaziken ex,Pokémon,31,20,62,9474
2026-08-05,1256,Team Rocket's Watchtower,Trainer,128,75,276,9474
2026-08-05,163,Slowking,Pokémon,132,78,528,9474
2026-08-05,162,Slowpoke,Pokémon,132,78,528,9474
2026-08-05,144,Kyurem,Pokémon,132,78,264,9474
2026-08-05,183,Smoochum,Pokémon,132,78,264,9474
2026-08-05,224,Annihilape,Pokémon,132,78,132,9474
2026-08-05,115,Conkeldurr,Pokémon,132,78,132,9474
2026-08-05,1248,Academy at Night,Trainer,132,78,528,9474
2026-08-05,1188,Ciphermaniac’s Codebreaking,Trainer,192,114,588,9474
2026-08-05,1194,Colress’s Tenacity,Trainer,519,263,907,9474
2026-08-05,1146,Wondrous Patch,Trainer,267,153,531,9474
2026-08-05,708,Chikorita,Pokémon,152,56,373,9474
2026-08-05,709,Bayleef,Pokémon,212,92,365,9474
2026-08-05,710,Meganium,Pokémon,212,92,424,9474
2026-08-05,402,Smoliv,Pokémon,83,28,166,9474
2026-08-05,403,Dolliv,Pokémon,83,28,166,9474
2026-08-05,404,Arboliva ex,Pokémon,83,28,166,9474
2026-08-05,117,Cornerstone Mask Ogerpon ex,Pokémon,599,299,732,9474
2026-08-05,24,Team Rocket's Kangaskhan ex,Pokémon,46,24,46,9474
2026-08-05,16,Prism Energy,Energy,188,101,561,9474
2026-08-05,1192,Carmine,Trainer,30,12,89,9474
2026-08-05,1252,Gravity Mountain,Trainer,55,28,88,9474
2026-08-05,1212,Cook,Trainer,29,11,30,9474
2026-08-05,1257,Team Rocket's Factory,Trainer,452,211,569,9474
2026-08-05,1260,Risky Ruins,Trainer,185,92,270,9474
2026-08-05,306,Dudunsparce ex,Pokémon,113,59,113,9474
2026-08-05,1240,Rosa's Encouragement,Trainer,7,1,7,9474
2026-08-05,149,Applin,Pokémon,72,39,102,9474
2026-08-05,1211,Black Belt’s Training,Trainer,13,3,13,9474
2026-08-05,1191,Kieran,Trainer,13,3,13,9474
2026-08-05,650,Bulbasaur,Pokémon,69,28,138,9474
2026-08-05,651,Ivysaur,Pokémon,69,28,138,9474
2026-08-05,652,Mega Venusaur ex,Pokémon,69,28,138,9474
2026-08-05,1217,Team Rocket's Archer,Trainer,42,16,43,9474
2026-08-05,959,Togepi,Pokémon,7,2,7,9474
2026-08-05,214,Togekiss,Pokémon,7,2,7,9474
2026-08-05,463,Team Rocket's Murkrow,Pokémon,25,6,50,9474
2026-08-05,432,Team Rocket's Wobbuffet,Pokémon,25,6,25,9474
2026-08-05,12,Legacy Energy,Energy,116,65,116,9474
2026-08-05,42,Applin,Pokémon,47,22,122,9474
2026-08-05,88,Volbeat,Pokémon,38,21,114,9474
2026-08-05,1126,Precious Trolley,Trainer,42,23,42,9474
2026-08-05,1172,Lillie’s Pearl,Trainer,2,1,6,9474
2026-08-05,804,Piplup,Pokémon,3,1,9,9474
2026-08-05,835,Empoleon ex,Pokémon,3,1,9,9474
2026-08-05,85,Beldum,Pokémon,3,1,6,9474
2026-08-05,86,Metang,Pokémon,3,1,6,9474
2026-08-05,547,Genesect ex,Pokémon,3,1,6,9474
2026-08-05,696,Dialga,Pokémon,3,1,4,9474
2026-08-05,1210,Brock’s Scouting,Trainer,29,13,107,9474
2026-08-05,1244,Full Metal Lab,Trainer,3,1,9,9474
2026-08-05,8,Basic {M} Energy,Energy,3,1,36,9474
2026-08-05,920,Tapu Bulu,Pokémon,108,53,109,9474
2026-08-05,65,Dunsparce,Pokémon,220,121,458,9474
2026-08-05,1186,Eri,Trainer,65,30,112,9474
2026-08-05,1204,Lisia’s Appeal,Trainer,47,19,49,9474
2026-08-05,1242,Community Center,Trainer,47,18,47,9474
2026-08-05,131,Duskull,Pokémon,3,0,6,9474
2026-08-05,132,Dusclops,Pokémon,3,0,5,9474
2026-08-05,133,Dusknoir,Pokémon,3,0,5,9474
2026-08-05,1167,Deluxe Bomb,Trainer,2,0,2,9474
2026-08-05,17,Ignition Energy,Energy,2,0,8,9474
2026-08-05,1247,Neutralization Zone,Trainer,80,45,80,9474
2026-08-05,1096,Poké Vital A,Trainer,52,23,52,9474
2026-08-05,317,Eevee,Pokémon,1,1,4,9474
2026-08-05,330,Sylveon,Pokémon,1,1,3,9474
2026-08-05,1136,Antique Cover Fossil,Trainer,1,1,3,9474
2026-08-05,1236,Urbain,Trainer,26,12,104,9474
2026-08-05,827,Carvanha,Pokémon,7,2,28,9474
2026-08-05,828,Mega Sharpedo ex,Pokémon,7,2,28,9474
2026-08-05,833,Toxel,Pokémon,7,2,14,9474
2026-08-05,834,Toxtricity,Pokémon,7,2,14,9474
2026-08-05,829,Seviper,Pokémon,7,2,7,9474
2026-08-05,1158,Maximum Belt,Trainer,7,2,7,9474
2026-08-05,292,N’s Zorua,Pokémon,1,0,4,9474
2026-08-05,293,N’s Zoroark ex,Pokémon,1,0,4,9474
2026-08-05,906,N's Zekrom,Pokémon,1,0,1,9474
2026-08-05,303,N’s Reshiram,Pokémon,1,0,2,9474
2026-08-05,1113,N’s PP Up,Trainer,1,0,4,9474
2026-08-05,1176,Punk Helmet,Trainer,1,0,2,9474
2026-08-05,1253,N’s Castle,Trainer,1,0,3,9474
2026-08-05,1195,Janine’s Secret Art,Trainer,1,0,1,9474
2026-08-05,917,Chikorita,Pokémon,60,36,120,9474
2026-08-05,150,Hydrapple ex,Pokémon,60,36,120,9474
2026-08-05,689,Yveltal,Pokémon,7,2,7,9474
2026-08-05,918,Bayleef,Pokémon,59,36,59,9474
2026-08-05,346,Applin,Pokémon,59,36,59,9474
