episode_id,agent,player,won,n_steps,archetype
84744056,youtube.com/@BigBugginnings,0,0,227,Dragapult ex
84744056,aaa,1,1,227,Fezandipiti ex
84744057,youtube.com/@BigBugginnings,0,0,204,Dragapult ex
84744057,LiamK,1,1,204,Teal Mask Ogerpon ex
84744058,Ajishio,0,1,190,Alakazam
84744058,Yushin Ito,1,0,190,Marnie's Grimmsnarl ex
84744059,koga_poke,0,0,88,Yveltal
84744059,Yushin Ito,1,1,88,Marnie's Grimmsnarl ex
84744060,junlee789,0,1,134,Mega Kangaskhan ex
84744060,zoroark190,1,0,134,Mega Kangaskhan ex
84744062,youtube.com/@BigBugginnings,0,1,191,Dragapult ex
84744062,bono,1,0,191,Mega Kangaskhan ex
84744067,btk15049,0,0,135,Cornerstone Mask Ogerpon ex
84744067,Yushin Ito,1,1,135,Mega Starmie ex
84744070,youtube.com/@BigBugginnings,0,1,164,Dragapult ex
84744070,Rmy,1,0,164,Dudunsparce
84744071,Yushin Ito,0,1,58,Mega Starmie ex
84744071,nasuo445,1,0,58,Cynthia's Garchomp ex
84744072,tonakaiiii,0,0,63,Marnie's Grimmsnarl ex
84744072,WinDecks,1,1,63,Mega Starmie ex
84744075,youtube.com/@BigBugginnings,0,1,185,Dragapult ex
84744075,THIRD PTCG Club,1,0,185,Fezandipiti ex
84744083,Rmy,0,0,180,Dudunsparce
84744083,youtube.com/@BigBugginnings,1,1,180,Dragapult ex
84744089,ShumpeiNomura,0,1,126,Archaludon ex
84744089,LiamK,1,0,126,Teal Mask Ogerpon ex
84744090,Akira-Ninth,0,0,80,Mega Lucario ex
84744090,5.5,1,1,80,Alakazam
84744093,渡邊征央,0,0,151,Marnie's Grimmsnarl ex
84744093,Star-mine,1,1,151,Chandelure
84744102,btk15049,0,0,196,Cornerstone Mask Ogerpon ex
84744102,ZETADIVISION,1,1,196,Dragapult ex
84744103,nasuo445,0,1,142,Cynthia's Garchomp ex
84744103,Raihan Ramadistra,1,0,142,Marnie's Grimmsnarl ex
84744114,Gotem Penguin,0,0,136,Mega Froslass ex
84744114,Yushin Ito,1,1,136,Marnie's Grimmsnarl ex
84744547,ubunbun18,0,0,146,Mega Lucario ex
84744547,Majkel1337,1,1,146,Dudunsparce
84744554,渡邊征央,0,0,150,Marnie's Grimmsnarl ex
84744554,matsurih,1,1,150,Dudunsparce
84744556,nasuo445,0,0,84,Cynthia's Garchomp ex
84744556,Majkel1337,1,1,84,Bloodmoon Ursaluna
84744558,capbloo,0,1,134,Alakazam
84744558,Yushin Ito,1,0,134,Marnie's Grimmsnarl ex
84744560,junlee789,0,1,144,Mega Kangaskhan ex
84744560,aaa,1,0,144,Fezandipiti ex
84744563,nasuo445,0,0,206,Cynthia's Garchomp ex
84744563,youtube.com/@BigBugginnings,1,1,206,Dragapult ex
84744564,koga_poke,0,1,109,Yveltal
84744564,kuromoka,1,0,109,Cynthia's Garchomp ex
84744565,Yushin Ito,0,1,119,Mega Starmie ex
84744565,LiamK,1,0,119,Cornerstone Mask Ogerpon ex
84744567,Dũng Đỗ,0,1,176,Mega Kangaskhan ex
84744567,bono,1,0,176,Mega Kangaskhan ex
84744569,btk15049,0,0,185,Cornerstone Mask Ogerpon ex
84744569,nasuo445,1,1,185,Cynthia's Garchomp ex
84744572,Bozo Boys,0,0,186,Alakazam
84744572,tw_shin,1,1,186,Marnie's Grimmsnarl ex
84744573,THIRD PTCG Club,0,1,220,Fezandipiti ex
84744573,Rmy,1,0,220,Dudunsparce
84744576,ごんさくよねきち,0,0,222,Marnie's Grimmsnarl ex
84744576,tonakaiiii,1,1,222,Marnie's Grimmsnarl ex
84744577,nasuo445,0,1,112,Cynthia's Garchomp ex
84744577,Yushin Ito,1,0,112,Mega Starmie ex
84744585,Star-mine,0,0,160,Chandelure
84744585,tonakaiiii,1,1,160,Marnie's Grimmsnarl ex
84744594,Abhyuday,0,0,225,Dudunsparce
84744594,nasuo445,1,1,225,Cynthia's Garchomp ex
84744595,Rmy,0,0,145,Dudunsparce
84744595,Akira-Ninth,1,1,145,Mega Lucario ex
84745029,Majkel1337,0,0,233,Dudunsparce
84745029,ShumpeiNomura,1,1,233,Archaludon ex
84745035,matsurih,0,1,92,Dudunsparce
84745035,jp_nerdery,1,0,92,Archaludon ex
84745036,Majkel1337,0,0,144,Bloodmoon Ursaluna
84745036,LiamK,1,1,144,Cornerstone Mask Ogerpon ex
84745038,THIRD PTCG Club,0,1,131,Fezandipiti ex
84745038,Yushin Ito,1,0,131,Marnie's Grimmsnarl ex
84745040,aaa,0,1,206,Fezandipiti ex
84745040,Bozo Boys,1,0,206,Alakazam
84745041,bono,0,1,105,Fezandipiti ex
84745041,youtube.com/@BigBugginnings,1,0,105,Dragapult ex
84745042,zoroark190,0,1,123,Mega Kangaskhan ex
84745042,koga_poke,1,0,123,Yveltal
84745044,junlee789,0,1,117,Mega Kangaskhan ex
84745044,ShumpeiNomura,1,0,117,Archaludon ex
84745045,Rmy,0,1,69,Dudunsparce
84745045,Yushin Ito,1,0,69,Mega Starmie ex
84745052,WinDecks,0,1,125,Mega Starmie ex
84745052,zoroark190,1,0,125,Mega Kangaskhan ex
84745054,WinDecks,0,1,50,Mega Starmie ex
84745054,Ajishio,1,0,50,Alakazam
84745056,bono,0,1,168,Fezandipiti ex
84745056,Bozo Boys,1,0,168,Alakazam
84745067,kazuki0123,0,0,255,Marnie's Grimmsnarl ex
84745067,youtube.com/@BigBugginnings,1,1,255,Dragapult ex
84745068,ZETADIVISION,0,1,177,Dragapult ex
84745068,Dũng Đỗ,1,0,177,Mega Kangaskhan ex
84745071,ShumpeiNomura,0,0,125,Archaludon ex
84745071,nasuo445,1,1,125,Cynthia's Garchomp ex
84745072,5.5,0,0,202,Alakazam
84745072,bono,1,1,202,Mega Kangaskhan ex
84745074,nasuo445,0,0,142,Cynthia's Garchomp ex
84745074,Star-mine,1,1,142,Chandelure
84745075,bono,0,1,128,Fezandipiti ex
84745075,LiamK,1,0,128,Teal Mask Ogerpon ex
84745100,ShumpeiNomura,0,1,113,Archaludon ex
84745100,tonakaiiii,1,0,113,Marnie's Grimmsnarl ex
84745354,niyo,0,0,151,Archaludon ex
84745354,junlee789,1,1,151,Mega Kangaskhan ex
84745527,ヌメルゴンex,0,1,179,Dudunsparce
84745527,matsurih,1,0,179,Dudunsparce
84745528,Majkel1337,0,1,199,Dudunsparce
84745528,aaa,1,0,199,Fezandipiti ex
84745533,btk15049,0,1,181,Cornerstone Mask Ogerpon ex
84745533,aaa,1,0,181,Fezandipiti ex
84745534,Majkel1337,0,0,231,Bloodmoon Ursaluna
84745534,kazuki0123,1,1,231,Marnie's Grimmsnarl ex
84745537,Rmy,0,0,107,Dudunsparce
84745537,koga_poke,1,1,107,Yveltal
84745538,Banjo,0,1,130,Mega Starmie ex
84745538,bono,1,0,130,Mega Kangaskhan ex
84745540,THIRD PTCG Club,0,0,143,Fezandipiti ex
84745540,Yushin Ito,1,1,143,Marnie's Grimmsnarl ex
84745542,Yushin Ito,0,1,157,Mega Starmie ex
84745542,LiamK,1,0,157,Cornerstone Mask Ogerpon ex
84745543,Kohenyan,0,0,106,Alakazam
84745543,WinDecks,1,1,106,Mega Starmie ex
84745546,zoroark190,0,1,84,Mega Kangaskhan ex
84745546,Yushin Ito,1,0,84,Mega Starmie ex
84745549,THIRD PTCG Club,0,0,164,Fezandipiti ex
84745549,Dũng Đỗ,1,1,164,Mega Kangaskhan ex
84745550,jiatu.l,0,1,49,Marnie's Grimmsnarl ex
84745550,btk15049,1,0,49,Cornerstone Mask Ogerpon ex
84745553,tonakaiiii,0,1,122,Marnie's Grimmsnarl ex
84745553,youtube.com/@BigBugginnings,1,0,122,Dragapult ex
84745554,kazuki0123,0,1,105,Marnie's Grimmsnarl ex
84745554,nasuo445,1,0,105,Cynthia's Garchomp ex
84745556,kazuki0123,0,1,204,Marnie's Grimmsnarl ex
84745556,Rmy,1,0,204,Dudunsparce
84745563,Star-mine,0,1,107,Chandelure
84745563,Abhyuday,1,0,107,Dudunsparce
84745564,tonakaiiii,0,0,121,Marnie's Grimmsnarl ex
84745564,Rmy,1,1,121,Dudunsparce
84746050,matsurih,0,0,151,Dudunsparce
84746050,junlee789,1,1,151,Mega Kangaskhan ex
84746051,Abhyuday,0,1,184,Dudunsparce
84746051,Majkel1337,1,0,184,Bloodmoon Ursaluna
84746053,LiamK,0,0,690,Cornerstone Mask Ogerpon ex
84746053,Majkel1337,1,1,690,Dudunsparce
84746055,matsurih,0,0,136,Dudunsparce
84746055,aaa,1,1,136,Fezandipiti ex
84746056,LiamK,0,0,80,Cornerstone Mask Ogerpon ex
84746056,niyo,1,1,80,Archaludon ex
84746060,Star-mine,0,0,109,Chandelure
84746060,Yushin Ito,1,1,109,Marnie's Grimmsnarl ex
84746061,Akira-Ninth,0,0,213,Mega Lucario ex
84746061,youtube.com/@BigBugginnings,1,1,213,Dragapult ex
84746066,tonakaiiii,0,0,180,Marnie's Grimmsnarl ex
84746066,bono,1,1,180,Mega Kangaskhan ex
84746067,bono,0,1,137,Mega Kangaskhan ex
84746067,zoroark190,1,0,137,Mega Kangaskhan ex
84746068,nasuo445,0,1,214,Cynthia's Garchomp ex
84746068,bono,1,0,214,Mega Kangaskhan ex
84746072,kazuki0123,0,1,183,Marnie's Grimmsnarl ex
84746072,koga_poke,1,0,183,Yveltal
84746075,tonakaiiii,0,0,183,Marnie's Grimmsnarl ex
84746075,Rmy,1,1,183,Dudunsparce
84746076,Dũng Đỗ,0,0,178,Mega Kangaskhan ex
84746076,Yushin Ito,1,1,178,Mega Starmie ex
84746078,Bozo Boys,0,1,182,Alakazam
84746078,豆本豆豆包,1,0,182,Alakazam
84746081,WinDecks,0,1,164,Mega Starmie ex
84746081,Rmy,1,0,164,Dudunsparce
84746085,ShumpeiNomura,0,1,182,Archaludon ex
84746085,ZETADIVISION,1,0,182,Dragapult ex
84746375,Yufeng,0,1,126,Archaludon ex
84746375,tonakaiiii,1,0,126,Marnie's Grimmsnarl ex
84746463,tonakaiiii,0,1,153,Marnie's Grimmsnarl ex
84746463,kidekikish,1,0,153,Chandelure
84746567,matsurih,0,1,141,Dudunsparce
84746567,bono,1,0,141,Mega Kangaskhan ex
84746569,Gotem Penguin,0,0,167,Mega Froslass ex
84746569,junlee789,1,1,167,Mega Kangaskhan ex
84746570,Abhyuday,0,1,162,Dudunsparce
84746570,youtube.com/@BigBugginnings,1,0,162,Dragapult ex
84746571,LiamK,0,0,97,Cornerstone Mask Ogerpon ex
84746571,Majkel1337,1,1,97,Bloodmoon Ursaluna
84746572,koga_poke,0,1,141,Yveltal
84746572,やる気元気ミワハルキ,1,0,141,Mega Lucario ex
84746573,zoroark190,0,0,124,Mega Kangaskhan ex
84746573,aaa,1,1,124,Fezandipiti ex
84746574,youtube.com/@BigBugginnings,0,0,206,Dragapult ex
84746574,Yushin Ito,1,1,206,Marnie's Grimmsnarl ex
84746575,WinDecks,0,1,70,Mega Starmie ex
84746575,kashiwashira,1,0,70,Team Rocket's Mewtwo ex
84746578,Yushin Ito,0,1,82,Mega Starmie ex
84746578,Dũng Đỗ,1,0,82,Mega Kangaskhan ex
84746579,やる気元気ミワハルキ,0,1,102,Mega Lucario ex
84746579,nasuo445,1,0,102,Cynthia's Garchomp ex
84746580,zoroark190,0,1,178,Mega Kangaskhan ex
84746580,youtube.com/@BigBugginnings,1,0,178,Dragapult ex
84746581,kazuki0123,0,1,187,Marnie's Grimmsnarl ex
84746581,aaa,1,0,187,Fezandipiti ex
84746582,lmaffei,0,1,153,Mega Lopunny ex
84746582,bono,1,0,153,Fezandipiti ex
84746586,bono,0,1,150,Fezandipiti ex
84746586,Rmy,1,0,150,Dudunsparce
84746588,THIRD PTCG Club,0,1,91,Fezandipiti ex
84746588,tw_shin,1,0,91,Marnie's Grimmsnarl ex
84746590,youtube.com/@BigBugginnings,0,0,299,Dragapult ex
84746590,Dũng Đỗ,1,1,299,Mega Kangaskhan ex
84746595,Majkel1337,0,1,80,Bloodmoon Ursaluna
84746595,LiamK,1,0,80,Teal Mask Ogerpon ex
84746597,nasuo445,0,0,174,Cynthia's Garchomp ex
84746597,koga_poke,1,1,174,Yveltal
84746632,Majkel1337,0,1,158,Bloodmoon Ursaluna
84746632,zoroark190,1,0,158,Mega Kangaskhan ex
84747077,Majkel1337,0,1,73,Dudunsparce
84747077,WinDecks,1,0,73,Mega Starmie ex
84747082,LiamK,0,1,109,Teal Mask Ogerpon ex
84747082,aaa,1,0,109,Fezandipiti ex
84747084,junlee789,0,1,236,Mega Kangaskhan ex
84747084,Raihan Ramadistra,1,0,236,Marnie's Grimmsnarl ex
84747085,Yushin Ito,0,0,139,Marnie's Grimmsnarl ex
84747085,Abhyuday,1,1,139,Dudunsparce
84747086,Bozo Boys,0,0,133,Alakazam
84747086,koga_poke,1,1,133,Yveltal
84747089,Mykhailo Kalus,0,1,126,Marnie's Grimmsnarl ex
84747089,matsurih,1,0,126,Dudunsparce
84747091,btk15049,0,0,165,Cornerstone Mask Ogerpon ex
84747091,LiamK,1,1,165,Cornerstone Mask Ogerpon ex
84747092,Bozo Boys,0,0,177,Alakazam
84747092,bono,1,1,177,Mega Kangaskhan ex
84747093,Yushin Ito,0,1,56,Mega Starmie ex
84747093,nasuo445,1,0,56,Cynthia's Garchomp ex
84747094,zoroark190,0,1,125,Mega Kangaskhan ex
84747094,btk15049,1,0,125,Cornerstone Mask Ogerpon ex
84747096,Rmy,0,0,188,Dudunsparce
84747096,kazuki0123,1,1,188,Marnie's Grimmsnarl ex
84747098,ごんさくよねきち,0,1,159,Marnie's Grimmsnarl ex
84747098,bono,1,0,159,Fezandipiti ex
84747100,youtube.com/@BigBugginnings,0,1,227,Dragapult ex
84747100,カドラバ Kadoraba,1,0,227,Fezandipiti ex
84747101,kashiwashira,0,1,145,Team Rocket's Mewtwo ex
84747101,Bozo Boys,1,0,145,Alakazam
84747102,Yushin Ito,0,0,109,Mega Starmie ex
84747102,Rmy,1,1,109,Dudunsparce
84747107,tonakaiiii,0,0,135,Marnie's Grimmsnarl ex
84747107,Dũng Đỗ,1,1,135,Mega Kangaskhan ex
84747110,ShumpeiNomura,0,0,62,Archaludon ex
84747110,bono,1,1,62,Fezandipiti ex
84747116,kazuki0123,0,0,134,Marnie's Grimmsnarl ex
84747116,nasuo445,1,1,134,Cynthia's Garchomp ex
84747126,nasuo445,0,0,184,Cynthia's Garchomp ex
84747126,jiatu.l,1,1,184,Marnie's Grimmsnarl ex
84747128,bono,0,0,239,Fezandipiti ex
84747128,豆本豆豆包,1,1,239,Alakazam
84747136,youtube.com/@BigBugginnings,0,0,170,Dragapult ex
84747136,ShumpeiNomura,1,1,170,Archaludon ex
84747608,Majkel1337,0,1,177,Dudunsparce
84747608,Rmy,1,0,177,Dudunsparce
84747613,junlee789,0,0,168,Mega Kangaskhan ex
84747613,ZETADIVISION,1,1,168,Dragapult ex
84747619,matsurih,0,1,122,Dudunsparce
84747619,btk15049,1,0,122,Cornerstone Mask Ogerpon ex
84747622,aaa,0,0,191,Fezandipiti ex
84747622,Yushin Ito,1,1,191,Marnie's Grimmsnarl ex
84747624,ごんさくよねきち,0,0,48,Marnie's Grimmsnarl ex
84747624,WinDecks,1,1,48,Mega Starmie ex
84747626,btk15049,0,0,196,Cornerstone Mask Ogerpon ex
84747626,LiamK,1,1,196,Cornerstone Mask Ogerpon ex
84747627,youtube.com/@BigBugginnings,0,0,186,Dragapult ex
84747627,koga_poke,1,1,186,Yveltal
84747628,Abhyuday,0,0,187,Dudunsparce
84747628,bono,1,1,187,Mega Kangaskhan ex
84747629,Rmy,0,1,102,Dudunsparce
84747629,Yushin Ito,1,0,102,Mega Starmie ex
84747630,kazuki0123,0,1,251,Marnie's Grimmsnarl ex
84747630,youtube.com/@BigBugginnings,1,0,251,Dragapult ex
84747632,zoroark190,0,1,184,Mega Kangaskhan ex
84747632,btk15049,1,0,184,Cornerstone Mask Ogerpon ex
84747633,nasuo445,0,1,245,Cynthia's Garchomp ex
84747633,btk15049,1,0,245,Cornerstone Mask Ogerpon ex
84747634,THIRD PTCG Club,0,1,112,Fezandipiti ex
84747634,Sota Uchiyama,1,0,112,Marnie's Grimmsnarl ex
84747636,bono,0,1,73,Fezandipiti ex
84747636,Banjo,1,0,73,Mega Starmie ex
84747640,Yushin Ito,0,1,41,Mega Starmie ex
84747640,Akira-Ninth,1,0,41,Mega Lucario ex
84747642,youtube.com/@BigBugginnings,0,1,123,Dragapult ex
84747642,豆本豆豆包,1,0,123,Alakazam
84747643,koga_poke,0,1,132,Yveltal
84747643,Yufeng,1,0,132,Archaludon ex
84747646,tonakaiiii,0,1,128,Marnie's Grimmsnarl ex
84747646,youtube.com/@BigBugginnings,1,0,128,Dragapult ex
84747647,bono,0,1,174,Fezandipiti ex
84747647,Rmy,1,0,174,Dudunsparce
84747651,ShumpeiNomura,0,1,166,Archaludon ex
84747651,Akira-Ninth,1,0,166,Mega Lucario ex
84747656,jiatu.l,0,1,192,Marnie's Grimmsnarl ex
84747656,bono,1,0,192,Fezandipiti ex
84747657,渡邊征央,0,1,292,Marnie's Grimmsnarl ex
84747657,LiamK,1,0,292,Cornerstone Mask Ogerpon ex
84747658,豆本豆豆包,0,0,219,Alakazam
84747658,Rmy,1,1,219,Dudunsparce
84748143,koga_poke,0,0,119,Yveltal
84748143,Majkel1337,1,1,119,Dudunsparce
84748150,Yigit Kayali,0,0,137,Dudunsparce
84748150,Majkel1337,1,1,137,Bloodmoon Ursaluna
84748153,junlee789,0,0,68,Mega Kangaskhan ex
84748153,matsurih,1,1,68,Dudunsparce
84748155,koga_poke,0,1,156,Yveltal
84748155,WinDecks,1,0,156,Mega Starmie ex
84748156,Yushin Ito,0,0,198,Marnie's Grimmsnarl ex
84748156,bono,1,1,198,Mega Kangaskhan ex
84748159,matsurih,0,0,111,Dudunsparce
84748159,Yushin Ito,1,1,111,Mega Starmie ex
84748160,matsurih,0,0,172,Dudunsparce
84748160,bono,1,1,172,Mega Kangaskhan ex
84748161,zoroark190,0,0,193,Mega Kangaskhan ex
84748161,LiamK,1,1,193,Cornerstone Mask Ogerpon ex
84748162,WinDecks,0,0,93,Mega Starmie ex
84748162,Majkel1337,1,1,93,Bloodmoon Ursaluna
84748163,aaa,0,0,162,Fezandipiti ex
84748163,ZETADIVISION,1,1,162,Dragapult ex
84748164,zoroark190,0,1,40,Mega Kangaskhan ex
84748164,nasuo445,1,0,40,Cynthia's Garchomp ex
84748168,Yushin Ito,0,1,174,Marnie's Grimmsnarl ex
84748168,youtube.com/@BigBugginnings,1,0,174,Dragapult ex
84748170,豆本豆豆包,0,0,170,Alakazam
84748170,THIRD PTCG Club,1,1,170,Fezandipiti ex
84748172,bono,0,0,156,Fezandipiti ex
84748172,lmaffei,1,1,156,Mega Lopunny ex
84748174,WinDecks,0,1,110,Mega Starmie ex
84748174,Dũng Đỗ,1,0,110,Mega Kangaskhan ex
84748175,koga_poke,0,0,103,Yveltal
84748175,Yushin Ito,1,1,103,Marnie's Grimmsnarl ex
84748182,niyo,0,1,146,Archaludon ex
84748182,Bozo Boys,1,0,146,Alakazam
84748183,豆本豆豆包,0,0,28,Alakazam
84748183,Akira-Ninth,1,1,28,Mega Lucario ex
84748184,zoroark190,0,0,128,Mega Kangaskhan ex
84748184,btk15049,1,1,128,Cornerstone Mask Ogerpon ex
84748269,zoroark190,0,1,119,Mega Kangaskhan ex
84748269,ImANoob1122,1,0,119,Mega Lucario ex
84748521,niyo,0,1,109,Archaludon ex
84748521,Yufeng,1,0,109,Archaludon ex
84748676,Majkel1337,0,1,99,Dudunsparce
84748676,koga_poke,1,0,99,Yveltal
84748681,Majkel1337,0,0,136,Bloodmoon Ursaluna
84748681,LiamK,1,1,136,Cornerstone Mask Ogerpon ex
84748682,pokeca2018,0,1,107,Dudunsparce
84748682,junlee789,1,0,107,Mega Kangaskhan ex
84748684,koga_poke,0,0,117,Yveltal
84748684,Sota Uchiyama,1,1,117,Marnie's Grimmsnarl ex
84748685,matsurih,0,0,191,Dudunsparce
84748685,Bozo Boys,1,1,191,Alakazam
84748688,LiamK,0,1,150,Cornerstone Mask Ogerpon ex
84748688,Sota Uchiyama,1,0,150,Marnie's Grimmsnarl ex
84748690,Yushin Ito,0,1,162,Marnie's Grimmsnarl ex
84748690,Boss's Orders Are All You Need,1,0,162,Fezandipiti ex
84748691,bono,0,1,114,Mega Kangaskhan ex
84748691,Sota Uchiyama,1,0,114,Marnie's Grimmsnarl ex
84748693,youtube.com/@BigBugginnings,0,0,165,Dragapult ex
84748693,zoroark190,1,1,165,Mega Kangaskhan ex
84748694,WinDecks,0,1,52,Mega Starmie ex
84748694,Star-mine,1,0,52,Chandelure
84748698,kazuki0123,0,1,203,Marnie's Grimmsnarl ex
84748698,Rmy,1,0,203,Dudunsparce
84748702,Akira-Ninth,0,1,148,Mega Lucario ex
84748702,aaa,1,0,148,Fezandipiti ex
84748704,Rmy,0,0,200,Dudunsparce
84748704,Ajishio,1,1,200,Alakazam
84748705,nasuo445,0,1,244,Cynthia's Garchomp ex
84748705,aaa,1,0,244,Fezandipiti ex
84748706,Bozo Boys,0,1,89,Alakazam
84748706,nasuo445,1,0,89,Cynthia's Garchomp ex
84748707,Rmy,0,0,109,Dudunsparce
84748707,koga_poke,1,1,109,Yveltal
84748708,Dũng Đỗ,0,0,102,Mega Kangaskhan ex
84748708,kashiwashira,1,1,102,Team Rocket's Mewtwo ex
84748709,bono,0,0,162,Fezandipiti ex
84748709,tw_shin,1,1,162,Marnie's Grimmsnarl ex
84748711,Akira-Ninth,0,1,161,Mega Lucario ex
84748711,jiatu.l,1,0,161,Marnie's Grimmsnarl ex
84748713,Bozo Boys,0,0,163,Alakazam
84748713,Dũng Đỗ,1,1,163,Mega Kangaskhan ex
84748717,bono,0,1,206,Mega Kangaskhan ex
84748717,tonakaiiii,1,0,206,Marnie's Grimmsnarl ex
84748723,tonakaiiii,0,1,160,Marnie's Grimmsnarl ex
84748723,渡邊征央,1,0,160,Marnie's Grimmsnarl ex
84748726,tw_shin,0,0,138,Marnie's Grimmsnarl ex
84748726,tonakaiiii,1,1,138,Marnie's Grimmsnarl ex
84748727,Majkel1337,0,0,231,Bloodmoon Ursaluna
84748727,ごんさくよねきち,1,1,231,Marnie's Grimmsnarl ex
84749012,渡邊征央,0,1,182,Marnie's Grimmsnarl ex
84749012,matsurih,1,0,182,Dudunsparce
84749013,koga_poke,0,1,105,Yveltal
84749013,5.5,1,0,105,Alakazam
84749017,tonakaiiii,0,0,305,Marnie's Grimmsnarl ex
84749017,btk15049,1,1,305,Cornerstone Mask Ogerpon ex
84749019,kashiwashira,0,1,167,Team Rocket's Mewtwo ex
84749019,aaa,1,0,167,Fezandipiti ex
84749057,zoroark190,0,1,113,Mega Kangaskhan ex
84749057,niyo,1,0,113,Archaludon ex
84749219,junlee789,0,1,168,Mega Kangaskhan ex
84749219,tw_shin,1,0,168,Marnie's Grimmsnarl ex
84749220,Yushin Ito,0,1,143,Marnie's Grimmsnarl ex
84749220,Abhyuday,1,0,143,Dudunsparce
84749221,nasuo445,0,1,177,Cynthia's Garchomp ex
